output_type,output_type_id,value,reference_date,target,horizon,target_end_date,location
quantile,0.01,0.0033949379689009653,2026-03-28,wk inc rsv prop ed visits,-1,2026-03-21,34
quantile,0.025,0.0035587675714148837,2026-03-28,wk inc rsv prop ed visits,-1,2026-03-21,34
quantile,0.05,0.003654230421810418,2026-03-28,wk inc rsv prop ed visits,-1,2026-03-21,34
quantile,0.1,0.0037905741967266954,2026-03-28,wk inc rsv prop ed visits,-1,2026-03-21,34
quantile,0.15,0.0038723625516543063,2026-03-28,wk inc rsv prop ed visits,-1,2026-03-21,34
quantile,0.2,0.003940509256092055,2026-03-28,wk inc rsv prop ed visits,-1,2026-03-21,34
quantile,0.25,0.003995019906691658,2026-03-28,wk inc rsv prop ed visits,-1,2026-03-21,34
quantile,0.3,0.004049524591285314,2026-03-28,wk inc rsv prop ed visits,-1,2026-03-21,34
quantile,0.35,0.0041040233108524055,2026-03-28,wk inc rsv prop ed visits,-1,2026-03-21,34
quantile,0.4,0.004144893436568083,2026-03-28,wk inc rsv prop ed visits,-1,2026-03-21,34
quantile,0.45,0.0041993817196946896,2026-03-28,wk inc rsv prop ed visits,-1,2026-03-21,34
quantile,0.5,0.004240244019204202,2026-03-28,wk inc rsv prop ed visits,-1,2026-03-21,34
quantile,0.55,0.004287231471921969,2026-03-28,wk inc rsv prop ed visits,-1,2026-03-21,34
quantile,0.6,0.004335576344438974,2026-03-28,wk inc rsv prop ed visits,-1,2026-03-21,34
quantile,0.65,0.004390043763676149,2026-03-28,wk inc rsv prop ed visits,-1,2026-03-21,34
quantile,0.7,0.004430890417515693,2026-03-28,wk inc rsv prop ed visits,-1,2026-03-21,34
quantile,0.75,0.0044989607263975495,2026-03-28,wk inc rsv prop ed visits,-1,2026-03-21,34
quantile,0.8,0.0045670217275375,2026-03-28,wk inc rsv prop ed visits,-1,2026-03-21,34
quantile,0.85,0.004635073422844486,2026-03-28,wk inc rsv prop ed visits,-1,2026-03-21,34
quantile,0.9,0.004730330166108415,2026-03-28,wk inc rsv prop ed visits,-1,2026-03-21,34
quantile,0.95,0.004879982503143966,2026-03-28,wk inc rsv prop ed visits,-1,2026-03-21,34
quantile,0.975,0.005002391854028566,2026-03-28,wk inc rsv prop ed visits,-1,2026-03-21,34
quantile,0.99,0.0051519623920411066,2026-03-28,wk inc rsv prop ed visits,-1,2026-03-21,34
quantile,0.01,0.0026326522401245965,2026-03-28,wk inc rsv prop ed visits,0,2026-03-28,34
quantile,0.025,0.0027638811688496033,2026-03-28,wk inc rsv prop ed visits,0,2026-03-28,34
quantile,0.05,0.002909610690330582,2026-03-28,wk inc rsv prop ed visits,0,2026-03-28,34
quantile,0.1,0.0030864903277729597,2026-03-28,wk inc rsv prop ed visits,0,2026-03-28,34
quantile,0.15,0.0031948380575083303,2026-03-28,wk inc rsv prop ed visits,0,2026-03-28,34
quantile,0.2,0.0032795961652089404,2026-03-28,wk inc rsv prop ed visits,0,2026-03-28,34
quantile,0.25,0.003354591044624793,2026-03-28,wk inc rsv prop ed visits,0,2026-03-28,34
quantile,0.3,0.0034220539056374144,2026-03-28,wk inc rsv prop ed visits,0,2026-03-28,34
quantile,0.35,0.0034810835734297775,2026-03-28,wk inc rsv prop ed visits,0,2026-03-28,34
