output_type,output_type_id,value,reference_date,target,horizon,target_end_date,location
quantile,0.01,0.006491568422623489,2026-03-28,wk inc rsv prop ed visits,-1,2026-03-21,27
quantile,0.025,0.00667686224775262,2026-03-28,wk inc rsv prop ed visits,-1,2026-03-21,27
quantile,0.05,0.006899123624836845,2026-03-28,wk inc rsv prop ed visits,-1,2026-03-21,27
quantile,0.1,0.0071212855598225275,2026-03-28,wk inc rsv prop ed visits,-1,2026-03-21,27
quantile,0.15,0.007306344591068366,2026-03-28,wk inc rsv prop ed visits,-1,2026-03-21,27
quantile,0.2,0.007417346900741735,2026-03-28,wk inc rsv prop ed visits,-1,2026-03-21,27
quantile,0.25,0.007528324388789505,2026-03-28,wk inc rsv prop ed visits,-1,2026-03-21,27
quantile,0.3,0.007639277063536426,2026-03-28,wk inc rsv prop ed visits,-1,2026-03-21,27
quantile,0.35,0.007713231732309871,2026-03-28,wk inc rsv prop ed visits,-1,2026-03-21,27
quantile,0.4,0.00782414307004471,2026-03-28,wk inc rsv prop ed visits,-1,2026-03-21,27
quantile,0.45,0.007898070188510542,2026-03-28,wk inc rsv prop ed visits,-1,2026-03-21,27
quantile,0.5,0.008008940212330043,2026-03-28,wk inc rsv prop ed visits,-1,2026-03-21,27
quantile,0.55,0.00808283979588036,2026-03-28,wk inc rsv prop ed visits,-1,2026-03-21,27
quantile,0.6,0.008156728369771686,2026-03-28,wk inc rsv prop ed visits,-1,2026-03-21,27
quantile,0.65,0.008267540592879487,2026-03-28,wk inc rsv prop ed visits,-1,2026-03-21,27
quantile,0.7,0.00837832805808974,2026-03-28,wk inc rsv prop ed visits,-1,2026-03-21,27
quantile,0.75,0.008489090773698712,2026-03-28,wk inc rsv prop ed visits,-1,2026-03-21,27
quantile,0.8,0.008599828747998958,2026-03-28,wk inc rsv prop ed visits,-1,2026-03-21,27
quantile,0.85,0.008747440908244928,2026-03-28,wk inc rsv prop ed visits,-1,2026-03-21,27
quantile,0.9,0.00893189430591738,2026-03-28,wk inc rsv prop ed visits,-1,2026-03-21,27
quantile,0.95,0.009263737490234012,2026-03-28,wk inc rsv prop ed visits,-1,2026-03-21,27
quantile,0.975,0.009558522706140514,2026-03-28,wk inc rsv prop ed visits,-1,2026-03-21,27
quantile,0.99,0.009816315906893731,2026-03-28,wk inc rsv prop ed visits,-1,2026-03-21,27
quantile,0.01,0.005125499969404074,2026-03-28,wk inc rsv prop ed visits,0,2026-03-28,27
quantile,0.025,0.005435477207103405,2026-03-28,wk inc rsv prop ed visits,0,2026-03-28,27
quantile,0.05,0.00559186787541103,2026-03-28,wk inc rsv prop ed visits,0,2026-03-28,27
quantile,0.1,0.00588314939765287,2026-03-28,wk inc rsv prop ed visits,0,2026-03-28,27
quantile,0.15,0.0061298521682909505,2026-03-28,wk inc rsv prop ed visits,0,2026-03-28,27
quantile,0.2,0.006286023400452491,2026-03-28,wk inc rsv prop ed visits,0,2026-03-28,27
quantile,0.25,0.006441276120821978,2026-03-28,wk inc rsv prop ed visits,0,2026-03-28,27
quantile,0.3,0.0065951124586238145,2026-03-28,wk inc rsv prop ed visits,0,2026-03-28,27
quantile,0.35,0.006727299536122624,2026-03-28,wk inc rsv prop ed visits,0,2026-03-28,27
quantile,0.4,0.0068458908355057595,2026-03-28,wk inc rsv prop ed visits,0,2026-03-28,27
quantile,0.45,0.006954362914357196,2026-03-28,wk inc rsv prop ed visits,0,2026-03-28,27
quantile,0.5,0.007062830654121421,2026-03-28,wk inc rsv prop ed visits,0,2026-03-28,27
quantile,0.55,0.007185841961903632,2026-03-28,wk inc rsv prop ed visits,0,2026-03-28,27
quantile,0.6,0.00731109522538036,2026-03-28,wk inc rsv prop ed visits,0,2026-03-28,27
quantile,0.65,0.007445267596162524,2026-03-28,wk inc rsv prop ed visits,0,2026-03-28,27
quantile,0.7,0.007578992924872071,2026-03-28,wk inc rsv prop ed visits,0,2026-03-28,27
quantile,0.75,0.007722987843831732,2026-03-28,wk inc rsv prop ed visits,0,2026-03-28,27
quantile,0.8,0.007868244308067467,2026-03-28,wk inc rsv prop ed visits,0,2026-03-28,27
quantile,0.85,0.008117058204470456,2026-03-28,wk inc rsv prop ed visits,0,2026-03-28,27
quantile,0.9,0.008392435025870885,2026-03-28,wk inc rsv prop ed visits,0,2026-03-28,27
quantile,0.95,0.008722004373683753,2026-03-28,wk inc rsv prop ed visits,0,2026-03-28,27
quantile,0.975,0.009060388061870029,2026-03-28,wk inc rsv prop ed visits,0,2026-03-28,27
quantile,0.99,0.009527592358717078,2026-03-28,wk inc rsv prop ed visits,0,2026-03-28,27
quantile,0.01,0.003553096588387084,2026-03-28,wk inc rsv prop ed visits,1,2026-04-04,27
quantile,0.025,0.003902997506730144,2026-03-28,wk inc rsv prop ed visits,1,2026-04-04,27
quantile,0.05,0.0042227887692099205,2026-03-28,wk inc rsv prop ed visits,1,2026-04-04,27
quantile,0.1,0.004606593358592526,2026-03-28,wk inc rsv prop ed visits,1,2026-04-04,27
quantile,0.15,0.004902746840823891,2026-03-28,wk inc rsv prop ed visits,1,2026-04-04,27
quantile,0.2,0.005111988568980598,2026-03-28,wk inc rsv prop ed visits,1,2026-04-04,27
quantile,0.25,0.005324406873818282,2026-03-28,wk inc rsv prop ed visits,1,2026-04-04,27
quantile,0.3,0.005508895138845459,2026-03-28,wk inc rsv prop ed visits,1,2026-04-04,27
quantile,0.35,0.005711223237920206,2026-03-28,wk inc rsv prop ed visits,1,2026-04-04,27
quantile,0.4,0.0059112920872800324,2026-03-28,wk inc rsv prop ed visits,1,2026-04-04,27
quantile,0.45,0.0060713021053099715,2026-03-28,wk inc rsv prop ed visits,1,2026-04-04,27
quantile,0.5,0.006257021331158838,2026-03-28,wk inc rsv prop ed visits,1,2026-04-04,27
quantile,0.55,0.006472186155382477,2026-03-28,wk inc rsv prop ed visits,1,2026-04-04,27
quantile,0.6,0.006650189632698931,2026-03-28,wk inc rsv prop ed visits,1,2026-04-04,27
quantile,0.65,0.006850993319874617,2026-03-28,wk inc rsv prop ed visits,1,2026-04-04,27
quantile,0.7,0.007078167487830101,2026-03-28,wk inc rsv prop ed visits,1,2026-04-04,27
quantile,0.75,0.007330334864390465,2026-03-28,wk inc rsv prop ed visits,1,2026-04-04,27
quantile,0.8,0.007627880968517187,2026-03-28,wk inc rsv prop ed visits,1,2026-04-04,27
quantile,0.85,0.0080095849340883,2026-03-28,wk inc rsv prop ed visits,1,2026-04-04,27
quantile,0.9,0.008490107996384172,2026-03-28,wk inc rsv prop ed visits,1,2026-04-04,27
quantile,0.95,0.009339598272026265,2026-03-28,wk inc rsv prop ed visits,1,2026-04-04,27
quantile,0.975,0.010016916434241466,2026-03-28,wk inc rsv prop ed visits,1,2026-04-04,27
quantile,0.99,0.010997424931533538,2026-03-28,wk inc rsv prop ed visits,1,2026-04-04,27
quantile,0.01,108,2026-03-28,wk inc rsv hosp,-1,2026-03-21,27
quantile,0.025,112,2026-03-28,wk inc rsv hosp,-1,2026-03-21,27
quantile,0.05,117,2026-03-28,wk inc rsv hosp,-1,2026-03-21,27
quantile,0.1,122,2026-03-28,wk inc rsv hosp,-1,2026-03-21,27
quantile,0.15,126,2026-03-28,wk inc rsv hosp,-1,2026-03-21,27
quantile,0.2,128,2026-03-28,wk inc rsv hosp,-1,2026-03-21,27
quantile,0.25,131,2026-03-28,wk inc rsv hosp,-1,2026-03-21,27
quantile,0.3,133,2026-03-28,wk inc rsv hosp,-1,2026-03-21,27
quantile,0.35,136,2026-03-28,wk inc rsv hosp,-1,2026-03-21,27
quantile,0.4,137.60000000000002,2026-03-28,wk inc rsv hosp,-1,2026-03-21,27
quantile,0.45,139,2026-03-28,wk inc rsv hosp,-1,2026-03-21,27
quantile,0.5,141,2026-03-28,wk inc rsv hosp,-1,2026-03-21,27
quantile,0.55,143,2026-03-28,wk inc rsv hosp,-1,2026-03-21,27
quantile,0.6,145,2026-03-28,wk inc rsv hosp,-1,2026-03-21,27
quantile,0.65,147,2026-03-28,wk inc rsv hosp,-1,2026-03-21,27
quantile,0.7,149,2026-03-28,wk inc rsv hosp,-1,2026-03-21,27
quantile,0.75,152,2026-03-28,wk inc rsv hosp,-1,2026-03-21,27
quantile,0.8,155,2026-03-28,wk inc rsv hosp,-1,2026-03-21,27
quantile,0.85,158,2026-03-28,wk inc rsv hosp,-1,2026-03-21,27
quantile,0.9,161,2026-03-28,wk inc rsv hosp,-1,2026-03-21,27
quantile,0.95,166,2026-03-28,wk inc rsv hosp,-1,2026-03-21,27
quantile,0.975,173,2026-03-28,wk inc rsv hosp,-1,2026-03-21,27
quantile,0.99,182,2026-03-28,wk inc rsv hosp,-1,2026-03-21,27
quantile,0.01,90.99,2026-03-28,wk inc rsv hosp,0,2026-03-28,27
quantile,0.025,96,2026-03-28,wk inc rsv hosp,0,2026-03-28,27
quantile,0.05,101,2026-03-28,wk inc rsv hosp,0,2026-03-28,27
quantile,0.1,107,2026-03-28,wk inc rsv hosp,0,2026-03-28,27
quantile,0.15,110.84999999999997,2026-03-28,wk inc rsv hosp,0,2026-03-28,27
quantile,0.2,114,2026-03-28,wk inc rsv hosp,0,2026-03-28,27
quantile,0.25,116.75,2026-03-28,wk inc rsv hosp,0,2026-03-28,27
quantile,0.3,119,2026-03-28,wk inc rsv hosp,0,2026-03-28,27
quantile,0.35,122,2026-03-28,wk inc rsv hosp,0,2026-03-28,27
quantile,0.4,124,2026-03-28,wk inc rsv hosp,0,2026-03-28,27
quantile,0.45,127,2026-03-28,wk inc rsv hosp,0,2026-03-28,27
quantile,0.5,129,2026-03-28,wk inc rsv hosp,0,2026-03-28,27
quantile,0.55,131,2026-03-28,wk inc rsv hosp,0,2026-03-28,27
quantile,0.6,134,2026-03-28,wk inc rsv hosp,0,2026-03-28,27
quantile,0.65,137,2026-03-28,wk inc rsv hosp,0,2026-03-28,27
quantile,0.7,140,2026-03-28,wk inc rsv hosp,0,2026-03-28,27
quantile,0.75,144,2026-03-28,wk inc rsv hosp,0,2026-03-28,27
quantile,0.8,147,2026-03-28,wk inc rsv hosp,0,2026-03-28,27
quantile,0.85,152,2026-03-28,wk inc rsv hosp,0,2026-03-28,27
quantile,0.9,157.10000000000014,2026-03-28,wk inc rsv hosp,0,2026-03-28,27
quantile,0.95,165.04999999999995,2026-03-28,wk inc rsv hosp,0,2026-03-28,27
quantile,0.975,175,2026-03-28,wk inc rsv hosp,0,2026-03-28,27
quantile,0.99,183.01,2026-03-28,wk inc rsv hosp,0,2026-03-28,27
quantile,0.01,70,2026-03-28,wk inc rsv hosp,1,2026-04-04,27
quantile,0.025,76,2026-03-28,wk inc rsv hosp,1,2026-04-04,27
quantile,0.05,82.95,2026-03-28,wk inc rsv hosp,1,2026-04-04,27
quantile,0.1,89.9,2026-03-28,wk inc rsv hosp,1,2026-04-04,27
quantile,0.15,94,2026-03-28,wk inc rsv hosp,1,2026-04-04,27
quantile,0.2,98,2026-03-28,wk inc rsv hosp,1,2026-04-04,27
quantile,0.25,101,2026-03-28,wk inc rsv hosp,1,2026-04-04,27
quantile,0.3,104,2026-03-28,wk inc rsv hosp,1,2026-04-04,27
quantile,0.35,107.64999999999998,2026-03-28,wk inc rsv hosp,1,2026-04-04,27
quantile,0.4,110,2026-03-28,wk inc rsv hosp,1,2026-04-04,27
quantile,0.45,114,2026-03-28,wk inc rsv hosp,1,2026-04-04,27
quantile,0.5,117,2026-03-28,wk inc rsv hosp,1,2026-04-04,27
quantile,0.55,120,2026-03-28,wk inc rsv hosp,1,2026-04-04,27
quantile,0.6,124,2026-03-28,wk inc rsv hosp,1,2026-04-04,27
quantile,0.65,128,2026-03-28,wk inc rsv hosp,1,2026-04-04,27
quantile,0.7,133,2026-03-28,wk inc rsv hosp,1,2026-04-04,27
quantile,0.75,137,2026-03-28,wk inc rsv hosp,1,2026-04-04,27
quantile,0.8,143,2026-03-28,wk inc rsv hosp,1,2026-04-04,27
quantile,0.85,148,2026-03-28,wk inc rsv hosp,1,2026-04-04,27
quantile,0.9,157,2026-03-28,wk inc rsv hosp,1,2026-04-04,27
quantile,0.95,172,2026-03-28,wk inc rsv hosp,1,2026-04-04,27
