output_type,output_type_id,value,reference_date,target,horizon,target_end_date,location
quantile,0.01,48,2026-03-28,wk inc rsv hosp,-1,2026-03-21,35
quantile,0.025,51,2026-03-28,wk inc rsv hosp,-1,2026-03-21,35
quantile,0.05,55,2026-03-28,wk inc rsv hosp,-1,2026-03-21,35
quantile,0.1,59,2026-03-28,wk inc rsv hosp,-1,2026-03-21,35
quantile,0.15,61,2026-03-28,wk inc rsv hosp,-1,2026-03-21,35
quantile,0.2,64,2026-03-28,wk inc rsv hosp,-1,2026-03-21,35
quantile,0.25,66,2026-03-28,wk inc rsv hosp,-1,2026-03-21,35
quantile,0.3,67,2026-03-28,wk inc rsv hosp,-1,2026-03-21,35
quantile,0.35,69,2026-03-28,wk inc rsv hosp,-1,2026-03-21,35
quantile,0.4,71,2026-03-28,wk inc rsv hosp,-1,2026-03-21,35
quantile,0.45,72,2026-03-28,wk inc rsv hosp,-1,2026-03-21,35
quantile,0.5,73,2026-03-28,wk inc rsv hosp,-1,2026-03-21,35
quantile,0.55,75,2026-03-28,wk inc rsv hosp,-1,2026-03-21,35
quantile,0.6,76,2026-03-28,wk inc rsv hosp,-1,2026-03-21,35
quantile,0.65,78,2026-03-28,wk inc rsv hosp,-1,2026-03-21,35
quantile,0.7,80,2026-03-28,wk inc rsv hosp,-1,2026-03-21,35
quantile,0.75,82,2026-03-28,wk inc rsv hosp,-1,2026-03-21,35
quantile,0.8,84,2026-03-28,wk inc rsv hosp,-1,2026-03-21,35
quantile,0.85,87,2026-03-28,wk inc rsv hosp,-1,2026-03-21,35
quantile,0.9,90,2026-03-28,wk inc rsv hosp,-1,2026-03-21,35
quantile,0.95,95,2026-03-28,wk inc rsv hosp,-1,2026-03-21,35
quantile,0.975,99.02499999999986,2026-03-28,wk inc rsv hosp,-1,2026-03-21,35
quantile,0.99,106,2026-03-28,wk inc rsv hosp,-1,2026-03-21,35
quantile,0.01,37.99,2026-03-28,wk inc rsv hosp,0,2026-03-28,35
quantile,0.025,41,2026-03-28,wk inc rsv hosp,0,2026-03-28,35
quantile,0.05,45,2026-03-28,wk inc rsv hosp,0,2026-03-28,35
quantile,0.1,50,2026-03-28,wk inc rsv hosp,0,2026-03-28,35
quantile,0.15,53,2026-03-28,wk inc rsv hosp,0,2026-03-28,35
quantile,0.2,56,2026-03-28,wk inc rsv hosp,0,2026-03-28,35
quantile,0.25,58,2026-03-28,wk inc rsv hosp,0,2026-03-28,35
quantile,0.3,60,2026-03-28,wk inc rsv hosp,0,2026-03-28,35
quantile,0.35,62,2026-03-28,wk inc rsv hosp,0,2026-03-28,35
quantile,0.4,65,2026-03-28,wk inc rsv hosp,0,2026-03-28,35
quantile,0.45,66,2026-03-28,wk inc rsv hosp,0,2026-03-28,35
quantile,0.5,68,2026-03-28,wk inc rsv hosp,0,2026-03-28,35
quantile,0.55,70,2026-03-28,wk inc rsv hosp,0,2026-03-28,35
quantile,0.6,73,2026-03-28,wk inc rsv hosp,0,2026-03-28,35
quantile,0.65,75,2026-03-28,wk inc rsv hosp,0,2026-03-28,35
quantile,0.7,78,2026-03-28,wk inc rsv hosp,0,2026-03-28,35
quantile,0.75,80,2026-03-28,wk inc rsv hosp,0,2026-03-28,35
quantile,0.8,83,2026-03-28,wk inc rsv hosp,0,2026-03-28,35
quantile,0.85,87,2026-03-28,wk inc rsv hosp,0,2026-03-28,35
quantile,0.9,92,2026-03-28,wk inc rsv hosp,0,2026-03-28,35
quantile,0.95,99,2026-03-28,wk inc rsv hosp,0,2026-03-28,35
quantile,0.975,107,2026-03-28,wk inc rsv hosp,0,2026-03-28,35
quantile,0.99,114.00999999999999,2026-03-28,wk inc rsv hosp,0,2026-03-28,35
quantile,0.01,26,2026-03-28,wk inc rsv hosp,1,2026-04-04,35
quantile,0.025,30,2026-03-28,wk inc rsv hosp,1,2026-04-04,35
quantile,0.05,35,2026-03-28,wk inc rsv hosp,1,2026-04-04,35
quantile,0.1,40,2026-03-28,wk inc rsv hosp,1,2026-04-04,35
quantile,0.15,44,2026-03-28,wk inc rsv hosp,1,2026-04-04,35
quantile,0.2,47,2026-03-28,wk inc rsv hosp,1,2026-04-04,35
quantile,0.25,50,2026-03-28,wk inc rsv hosp,1,2026-04-04,35
quantile,0.3,53,2026-03-28,wk inc rsv hosp,1,2026-04-04,35
quantile,0.35,56,2026-03-28,wk inc rsv hosp,1,2026-04-04,35
quantile,0.4,58,2026-03-28,wk inc rsv hosp,1,2026-04-04,35
quantile,0.45,61,2026-03-28,wk inc rsv hosp,1,2026-04-04,35
quantile,0.5,64,2026-03-28,wk inc rsv hosp,1,2026-04-04,35
quantile,0.55,67,2026-03-28,wk inc rsv hosp,1,2026-04-04,35
quantile,0.6,69,2026-03-28,wk inc rsv hosp,1,2026-04-04,35
quantile,0.65,72,2026-03-28,wk inc rsv hosp,1,2026-04-04,35
quantile,0.7,76,2026-03-28,wk inc rsv hosp,1,2026-04-04,35
quantile,0.75,81,2026-03-28,wk inc rsv hosp,1,2026-04-04,35
quantile,0.8,86,2026-03-28,wk inc rsv hosp,1,2026-04-04,35
quantile,0.85,92,2026-03-28,wk inc rsv hosp,1,2026-04-04,35
quantile,0.9,99,2026-03-28,wk inc rsv hosp,1,2026-04-04,35
quantile,0.95,112,2026-03-28,wk inc rsv hosp,1,2026-04-04,35
quantile,0.975,127,2026-03-28,wk inc rsv hosp,1,2026-04-04,35
quantile,0.99,137.01999999999998,2026-03-28,wk inc rsv hosp,1,2026-04-04,35
quantile,0.01,186,2026-03-28,wk inc rsv hosp,-1,2026-03-21,34
quantile,0.025,194,2026-03-28,wk inc rsv hosp,-1,2026-03-21,34
quantile,0.05,200,2026-03-28,wk inc rsv hosp,-1,2026-03-21,34
quantile,0.1,209,2026-03-28,wk inc rsv hosp,-1,2026-03-21,34
quantile,0.15,216,2026-03-28,wk inc rsv hosp,-1,2026-03-21,34
quantile,0.2,220,2026-03-28,wk inc rsv hosp,-1,2026-03-21,34
quantile,0.25,223,2026-03-28,wk inc rsv hosp,-1,2026-03-21,34
quantile,0.3,227,2026-03-28,wk inc rsv hosp,-1,2026-03-21,34
quantile,0.35,230,2026-03-28,wk inc rsv hosp,-1,2026-03-21,34
quantile,0.4,233.60000000000002,2026-03-28,wk inc rsv hosp,-1,2026-03-21,34
quantile,0.45,237,2026-03-28,wk inc rsv hosp,-1,2026-03-21,34
quantile,0.5,240,2026-03-28,wk inc rsv hosp,-1,2026-03-21,34
quantile,0.55,243.45000000000005,2026-03-28,wk inc rsv hosp,-1,2026-03-21,34
quantile,0.6,247,2026-03-28,wk inc rsv hosp,-1,2026-03-21,34
