reference_date,location,horizon,target,target_end_date,output_type,output_type_id,value
2026-03-28,01,0,wk inc rsv hosp,2026-03-28,quantile,0.01,9.5
2026-03-28,01,0,wk inc rsv hosp,2026-03-28,quantile,0.025,13
2026-03-28,01,0,wk inc rsv hosp,2026-03-28,quantile,0.05,15
2026-03-28,01,0,wk inc rsv hosp,2026-03-28,quantile,0.1,17
2026-03-28,01,0,wk inc rsv hosp,2026-03-28,quantile,0.15,19
2026-03-28,01,0,wk inc rsv hosp,2026-03-28,quantile,0.2,20
2026-03-28,01,0,wk inc rsv hosp,2026-03-28,quantile,0.25,22
2026-03-28,01,0,wk inc rsv hosp,2026-03-28,quantile,0.3,23
2026-03-28,01,0,wk inc rsv hosp,2026-03-28,quantile,0.35,24
2026-03-28,01,0,wk inc rsv hosp,2026-03-28,quantile,0.4,25
2026-03-28,01,0,wk inc rsv hosp,2026-03-28,quantile,0.45,27
2026-03-28,01,0,wk inc rsv hosp,2026-03-28,quantile,0.5,29
2026-03-28,01,0,wk inc rsv hosp,2026-03-28,quantile,0.55,31
2026-03-28,01,0,wk inc rsv hosp,2026-03-28,quantile,0.6,33
2026-03-28,01,0,wk inc rsv hosp,2026-03-28,quantile,0.65,34
2026-03-28,01,0,wk inc rsv hosp,2026-03-28,quantile,0.7,34
2026-03-28,01,0,wk inc rsv hosp,2026-03-28,quantile,0.75,35.5
2026-03-28,01,0,wk inc rsv hosp,2026-03-28,quantile,0.8,39
2026-03-28,01,0,wk inc rsv hosp,2026-03-28,quantile,0.85,39
2026-03-28,01,0,wk inc rsv hosp,2026-03-28,quantile,0.9,43
2026-03-28,01,0,wk inc rsv hosp,2026-03-28,quantile,0.95,52.5
2026-03-28,01,0,wk inc rsv hosp,2026-03-28,quantile,0.975,66
2026-03-28,01,0,wk inc rsv hosp,2026-03-28,quantile,0.99,81
2026-03-28,01,1,wk inc rsv hosp,2026-04-04,quantile,0.01,7
2026-03-28,01,1,wk inc rsv hosp,2026-04-04,quantile,0.025,8
2026-03-28,01,1,wk inc rsv hosp,2026-04-04,quantile,0.05,9
2026-03-28,01,1,wk inc rsv hosp,2026-04-04,quantile,0.1,11
2026-03-28,01,1,wk inc rsv hosp,2026-04-04,quantile,0.15,12
2026-03-28,01,1,wk inc rsv hosp,2026-04-04,quantile,0.2,14
2026-03-28,01,1,wk inc rsv hosp,2026-04-04,quantile,0.25,15
2026-03-28,01,1,wk inc rsv hosp,2026-04-04,quantile,0.3,16
2026-03-28,01,1,wk inc rsv hosp,2026-04-04,quantile,0.35,17
2026-03-28,01,1,wk inc rsv hosp,2026-04-04,quantile,0.4,19
2026-03-28,01,1,wk inc rsv hosp,2026-04-04,quantile,0.45,20
2026-03-28,01,1,wk inc rsv hosp,2026-04-04,quantile,0.5,22
2026-03-28,01,1,wk inc rsv hosp,2026-04-04,quantile,0.55,23
2026-03-28,01,1,wk inc rsv hosp,2026-04-04,quantile,0.6,25
2026-03-28,01,1,wk inc rsv hosp,2026-04-04,quantile,0.65,27
2026-03-28,01,1,wk inc rsv hosp,2026-04-04,quantile,0.7,29
2026-03-28,01,1,wk inc rsv hosp,2026-04-04,quantile,0.75,32
2026-03-28,01,1,wk inc rsv hosp,2026-04-04,quantile,0.8,34.5
2026-03-28,01,1,wk inc rsv hosp,2026-04-04,quantile,0.85,36
2026-03-28,01,1,wk inc rsv hosp,2026-04-04,quantile,0.9,40
2026-03-28,01,1,wk inc rsv hosp,2026-04-04,quantile,0.95,44.5
2026-03-28,01,1,wk inc rsv hosp,2026-04-04,quantile,0.975,55
2026-03-28,01,1,wk inc rsv hosp,2026-04-04,quantile,0.99,71
2026-03-28,01,2,wk inc rsv hosp,2026-04-11,quantile,0.01,3
2026-03-28,01,2,wk inc rsv hosp,2026-04-11,quantile,0.025,4
2026-03-28,01,2,wk inc rsv hosp,2026-04-11,quantile,0.05,5
2026-03-28,01,2,wk inc rsv hosp,2026-04-11,quantile,0.1,7
2026-03-28,01,2,wk inc rsv hosp,2026-04-11,quantile,0.15,8
2026-03-28,01,2,wk inc rsv hosp,2026-04-11,quantile,0.2,9
2026-03-28,01,2,wk inc rsv hosp,2026-04-11,quantile,0.25,10
2026-03-28,01,2,wk inc rsv hosp,2026-04-11,quantile,0.3,12
2026-03-28,01,2,wk inc rsv hosp,2026-04-11,quantile,0.35,13
2026-03-28,01,2,wk inc rsv hosp,2026-04-11,quantile,0.4,14
2026-03-28,01,2,wk inc rsv hosp,2026-04-11,quantile,0.45,15
2026-03-28,01,2,wk inc rsv hosp,2026-04-11,quantile,0.5,16
2026-03-28,01,2,wk inc rsv hosp,2026-04-11,quantile,0.55,18
2026-03-28,01,2,wk inc rsv hosp,2026-04-11,quantile,0.6,19
2026-03-28,01,2,wk inc rsv hosp,2026-04-11,quantile,0.65,21
2026-03-28,01,2,wk inc rsv hosp,2026-04-11,quantile,0.7,23
2026-03-28,01,2,wk inc rsv hosp,2026-04-11,quantile,0.75,25
2026-03-28,01,2,wk inc rsv hosp,2026-04-11,quantile,0.8,28
2026-03-28,01,2,wk inc rsv hosp,2026-04-11,quantile,0.85,31.5
2026-03-28,01,2,wk inc rsv hosp,2026-04-11,quantile,0.9,36
2026-03-28,01,2,wk inc rsv hosp,2026-04-11,quantile,0.95,39
2026-03-28,01,2,wk inc rsv hosp,2026-04-11,quantile,0.975,49.5
2026-03-28,01,2,wk inc rsv hosp,2026-04-11,quantile,0.99,63
2026-03-28,01,3,wk inc rsv hosp,2026-04-18,quantile,0.01,1
2026-03-28,01,3,wk inc rsv hosp,2026-04-18,quantile,0.025,2
2026-03-28,01,3,wk inc rsv hosp,2026-04-18,quantile,0.05,3
2026-03-28,01,3,wk inc rsv hosp,2026-04-18,quantile,0.1,4
2026-03-28,01,3,wk inc rsv hosp,2026-04-18,quantile,0.15,5
2026-03-28,01,3,wk inc rsv hosp,2026-04-18,quantile,0.2,7
2026-03-28,01,3,wk inc rsv hosp,2026-04-18,quantile,0.25,8
2026-03-28,01,3,wk inc rsv hosp,2026-04-18,quantile,0.3,8
